TC9,TC8,TC7,TC6,TC5,TC4,TC3,TC2,TC1,TCi,TCe
51.2175293,51.9239883,52.5691071,52.719841,52.0195198,50.9155083,48.859375,46.4855423,44.1761932,24.7469826,33.5396004
51.4428558,52.1582985,52.7765846,52.9132652,52.195694,51.1228371,49.0271606,46.6139679,44.3192215,24.7613106,35.1089745
50.9507942,51.4986839,52.1496124,52.1902962,51.3304749,50.0921326,47.7382889,45.4426498,43.2707481,24.7566395,37.8304482
49.9652939,50.4093704,51.1351547,51.1611633,50.1340561,48.6590958,46.1437531,43.8625107,41.9748611,24.7493439,38.4814415
49.0670013,49.4696922,50.2278557,50.2091599,49.0580025,47.4002724,44.7795486,42.5156059,40.9695129,24.7390251,38.8359947
48.2775002,48.616703,49.3980751,49.3618851,48.0840225,46.296566,43.5986519,41.3985901,40.1549873,24.7296906,38.9811287
47.6065521,47.8904114,48.6752243,48.5990295,47.2325706,45.3567047,42.6322136,40.5052147,39.508194,24.7326889,39.1386833
47.0440254,47.2117805,47.9887772,47.8823853,46.4534035,44.5089264,41.7557297,39.7050018,38.8533287,24.7290974,39.152668
46.4763412,46.6106606,47.3725471,47.2230415,45.7288437,43.7520981,41.0029259,39.0172234,38.264164,24.7126999,39.1102333
45.95644,46.0718384,46.8077927,46.6285515,45.1062126,43.0899582,40.3527145,38.40905,37.7952385,24.7052708,39.0835762
45.4839287,45.5693054,46.2904243,46.0871315,44.5039101,42.4953346,39.7616425,37.8833008,37.3736229,24.701889,39.0187454
45.1572037,45.1171646,45.8193626,45.5658226,43.9784241,41.9555397,39.2459183,37.4161568,36.9892082,24.6871319,38.9569817
44.7143402,44.683918,45.3708305,45.1145058,43.4838791,41.4670143,38.7919273,37.0176048,36.6779671,24.6739922,38.9056168
44.419651,44.3049126,44.9612961,44.6770515,43.058651,41.0530014,38.4048042,36.6728516,36.3914223,24.6789207,38.8697586
43.9229088,43.9431839,44.5880013,44.2874298,42.6643143,40.6763153,38.0571289,36.3887863,36.1691132,24.6771832,38.8270798
43.9778709,43.625988,44.2475128,43.9267998,42.2930183,40.3300209,37.7551994,36.1213531,35.9227371,24.6658802,38.7431374
43.7910194,43.3167076,43.9225578,43.599678,41.963253,40.0044937,37.4709435,35.8762703,35.6664276,24.665884,38.6604767
43.5730858,43.039444,43.6263008,43.2714195,41.6579628,39.725338,37.2172813,35.6467552,35.456234,24.6788006,38.6054611
43.3333549,42.7598076,43.3412209,42.9911461,41.3614044,39.4608879,36.9855766,35.436264,35.2663078,24.6462727,38.5490685
43.0803299,42.5257721,43.0765457,42.7100296,41.1029968,39.2171059,36.7828064,35.2681274,35.1143951,24.6592064,38.5074806
42.856678,42.2872849,42.8345985,42.4594307,40.8572731,39.0119514,36.6040115,35.1304512,34.9521675,24.6425362,38.4982796
42.6189804,42.0684776,42.5902252,42.2145882,40.6294441,38.8081245,36.419014,34.9729462,34.8216057,24.6523418,38.4311256
42.4093704,41.8512077,42.3646278,41.9889221,40.400238,38.5982628,36.2310143,34.8012695,34.6467667,24.6444206,38.3286667
42.1756783,41.6231117,42.1282349,41.7381516,40.1705322,38.3784027,36.0339813,34.6171303,34.4599915,24.637188,38.2657394
41.9571037,41.4176521,41.9067917,41.5130005,39.94561,38.1683655,35.8615532,34.4471588,34.2714233,24.6297817,38.1954041
41.7632065,41.2335434,41.7025604,41.3172188,39.7541008,38.0095901,35.7096977,34.312542,34.1372681,24.627285,38.1474571
41.5773659,41.0404739,41.5075493,41.1221237,39.5587578,37.8377609,35.545105,34.1646042,33.9878693,24.6408367,38.0971642
41.3991203,40.8498344,41.3262749,40.925705,39.3846397,37.663372,35.4235115,34.0370331,33.8751793,24.6077366,38.0437698
41.2055511,40.6861992,41.1337547,40.7443428,39.2044601,37.5195007,35.2840157,33.9288025,33.7551575,24.616066,37.996727
41.0562782,40.5241013,40.9702148,40.5714569,39.037693,37.3584518,35.1517792,33.8108482,33.6420059,24.6191769,37.9005089
40.8792953,40.3610954,40.8011131,40.3995132,38.8770142,37.221035,35.0342331,33.6999855,33.5180244,24.6166534,37.8653145
40.7230797,40.1999092,40.6338387,40.2342186,38.7322769,37.0938911,34.9212761,33.5976067,33.4344711,24.6082859,37.798214
40.5541306,40.0521393,40.4802704,40.0872231,38.5802116,36.9739189,34.8177185,33.5019226,33.3121109,24.611372,37.7558899
40.396553,39.9107018,40.3312263,39.928196,38.4246292,36.836441,34.7012367,33.4016418,33.2012291,24.6011143,37.6730537
40.2162514,39.7659721,40.1726341,39.7717743,38.2853889,36.6955719,34.5735512,33.270607,33.0736504,24.5947666,37.5751076
40.0383682,39.6228752,40.0187225,39.6201324,38.1459274,36.5682564,34.4575691,33.1571503,32.9535675,24.5966091,37.555027
39.8821297,39.4852409,39.8778343,39.4826965,38.0090332,36.476017,34.3862648,33.099247,32.8969383,24.5915432,37.5224457
39.7397881,39.3635063,39.7541428,39.3573189,37.9109955,36.3719177,34.3129616,33.0377884,32.8194618,24.58074,37.4938774
39.6223679,39.2481308,39.63797,39.2268867,37.7936249,36.2646179,34.2307549,32.9877014,32.7597466,24.5895672,37.4396591
39.4848289,39.1245651,39.497921,39.0999718,37.6677246,36.1637878,34.1430016,32.9034843,32.6662598,24.5770683,37.36446
39.3514061,38.9894829,39.3643494,38.9670982,37.5438042,36.0595474,34.0392036,32.8000183,32.5685425,24.5774384,37.3339691
39.2366562,38.8765221,39.2546997,38.8641319,37.4407768,35.9596291,33.9605446,32.734581,32.5125237,24.5681095,37.3055916
39.1388779,38.7649956,39.129776,38.742363,37.338047,35.8830528,33.8961601,32.6814079,32.4670486,24.5795116,37.2569389
39.0299644,38.6592026,39.0048981,38.6276283,37.222641,35.7817917,33.8264732,32.6088867,32.3842888,24.5690346,37.2120705
38.9240456,38.538105,38.8984718,38.4984589,37.1132698,35.6757927,33.7302017,32.5195236,32.2797394,24.5482502,37.1590996
38.8307686,38.4385376,38.7819557,38.4083824,37.0171318,35.5989037,33.6680565,32.4742775,32.2219696,24.5551319,37.1027603
38.7286491,38.3434639,38.6807899,38.2926979,36.9247475,35.5114021,33.5823708,32.4026527,32.1585617,24.5669899,37.0512962
38.6205215,38.2305412,38.5719566,38.1916351,36.8204117,35.4217758,33.5088501,32.3190384,32.0617828,24.5553513,37.0014229
38.5379906,38.1381226,38.474102,38.0934486,36.7357788,35.3351212,33.438549,32.2657814,32.0276108,24.5686951,36.9620018
38.4254417,38.0259895,38.357872,37.9782715,36.6208229,35.2459145,33.3527069,32.1873016,31.9325428,24.5373688,36.8633842
38.3072052,37.9091911,38.2519836,37.8746071,36.527565,35.1628342,33.2641563,32.1028862,31.8310623,24.5460625,36.8231697
38.2092896,37.8066483,38.1313438,37.7681046,36.4126358,35.0494308,33.1615868,31.9888535,31.7274303,24.5370655,36.7503738
